년도,월,구,동,전기,가스,수도,탄소
2012,1,강남구,개포1동,30477,32829,1332,86901
2012,1,강남구,개포2동,160400,41983,4373,163503
2012,1,강남구,개포4동,57135,27406,4432,87086
2012,1,강남구,기타,151386,29814,6752,133213
2012,1,강남구,논현1동,79099,41835,93,127279
2012,1,강남구,논현2동,17990,7313,448,24158
2012,1,강남구,대치1동,117656,5156,5881,63388
2012,1,강남구,대치2동,167276,22370,7420,123497
2012,1,강남구,대치4동,82658,29717,8836,104546
2012,1,강남구,도곡1동,57672,14049,2263,56674
2012,1,강남구,도곡2동,193397,7210,9498,101304
2012,1,강남구,삼성1동,17419,9823,624,29596
2012,1,강남구,삼성2동,120979,30256,8912,122027
2012,1,강남구,세곡동,10136,7970,350,22267
2012,1,강남구,수서동,37804,4082,877,25464
2012,1,강남구,신사동,2969,4445,118,11255
2012,1,강남구,압구정동,171279,5427,4070,86130
2012,1,강남구,역삼1동,9637,2354,438,9504
2012,1,강남구,역삼2동,116962,27793,8022,114511
2012,1,강남구,일원1동,90009,20613,194,84401
2012,1,강남구,일원2동,59859,4308,1379,35488
2012,1,강남구,일원본동,103325,9683,4377,66953
2012,1,강남구,청담동,222467,63198,4627,237426
2012,1,강동구,강일동,125628,6204,8012,69823
2012,1,강동구,고덕1동,132550,50117,10064,171805
2012,1,강동구,기타,247598,104127,8960,341201
2012,1,강동구,길동,75082,43699,10174,133098
2012,1,강동구,둔촌1동,69960,17998,394,70109
2012,1,강동구,둔촌2동,49353,38174,1870,107056
2012,1,강동구,명일2동,118135,9744,5846,73857
2012,1,강동구,상일1동,85254,65305,36747,194631
2012,1,강동구,성내1동,47340,20603,2160,66940
2012,1,강동구,성내3동,41447,36840,379,100221
2012,1,강동구,암사1동,95954,43794,4577,140303
2012,1,강동구,암사2동,230969,97943,12856,321591
2012,1,강동구,암사3동,244245,89092,4234,304532
2012,1,강동구,천호2동,54526,49173,28414,142700
2012,1,강북구,미아동,61081,49696,2292,137978
2012,1,강북구,번1동,42137,32956,100,91721
2012,1,강북구,번3동,62584,48375,2460,135712
2012,1,강북구,삼양동,46668,32330,2938,93182
2012,1,강북구,송천동,9178,12445,494,31932
2012,1,강북구,수유2동,24642,7332,1507,27372
2012,1,강북구,우이동,61186,38981,8365,116038
2012,1,강서구,가양1동,158978,58469,3167,199428
2012,1,강서구,가양2동,51121,1598,2591,26115
2012,1,강서구,가양3동,51829,6284,2011,36720
2012,1,강서구,공항동,94448,23630,17440,98767
2012,1,강서구,기타,8972,2538,827,9764
2012,1,강서구,등촌1동,90424,14278,3951,71634
2012,1,강서구,등촌2동,40235,16091,2080,53794
2012,1,강서구,등촌3동,102842,3501,4754,53025
2012,1,강서구,발산1동,178382,23577,15192,133490
2012,1,강서구,방화1동,118090,30749,3770,120199
2012,1,강서구,방화2동,89504,25378,11212,98519
2012,1,강서구,방화3동,101275,16625,5229,81916
2012,1,강서구,염창동,481873,139665,25763,525717
2012,1,강서구,우장산동(화곡5동.발산2동),271175,63252,21744,263882
2012,1,강서구,화곡1동,166174,59615,482,204155
2012,1,강서구,화곡2동,1108,750,49,2166
2012,1,강서구,화곡3동,122152,3395,5846,61338
2012,1,강서구,화곡4동,183565,47055,37517,195690
2012,1,강서구,화곡6동,37642,7928,3592,34911
2012,1,강서구,화곡8동,3438,2887,95,7956
2012,1,관악구,기타,2978,837,156,3189
2012,1,관악구,성현동(봉천2.5동),136985,34534,7099,137795
2012,1,관악구,신림동(신림5동),41274,16969,1307,55945
2012,1,관악구,은천동(봉천본동.9동),47987,19875,2268,65619
2012,1,관악구,인헌동(봉천11동),12366,9403,208,26375
2012,1,관악구,중앙동(봉천10동),47945,22264,2770,71120
2012,1,관악구,행운동(봉천6동),47576,9832,2044,42875
2012,1,광진구,광장동,287840,107270,14122,367018
2012,1,광진구,구의3동,174009,44222,12477,176979
2012,1,광진구,화양동,40247,60607,195,152889
2012,1,구로구,가리봉동,67382,18095,11811,73024
2012,1,구로구,개봉1동,109872,50839,14893,165409
2012,1,구로구,개봉2동,86958,37930,4514,123332
2012,1,구로구,고척1동,61717,26022,3437,85598
2012,1,구로구,고척2동,63008,20193,4072,73300
2012,1,구로구,구로1동,206806,41635,12932,185242
2012,1,구로구,구로5동,30390,18105,1762,54026
2012,1,구로구,기타,98429,42417,5791,138671
2012,1,구로구,신도림동,166866,64928,9155,219229
2012,1,구로구,오류1동,34885,16683,1405,52628
2012,1,구로구,오류2동,94988,62789,9390,184039
2012,1,금천구,기타,6171,2393,387,8105
2012,1,금천구,시흥1동,133516,61978,8624,198305
2012,1,금천구,시흥2동,361766,189669,19581,584748
2012,1,노원구,공릉1동,173487,157962,10183,430774
2012,1,노원구,공릉2동,445567,140109,29897,512691
2012,1,노원구,상계10동,321865,26640,13465,200615
2012,1,노원구,상계1동,241543,84843,627086,500655
2012,1,노원구,상계2동,126184,72294,9771,218685
2012,1,노원구,상계3.4동,82960,49855,4842,148458
2012,1,노원구,상계5동,58529,15350,853,59483
2012,1,노원구,상계6.7동,256399,14535,3721,142507
2012,1,노원구,상계8동,467302,15068,2402,232686
2012,1,노원구,상계9동,252076,6756,13506,126498
2012,1,노원구,월계1동,127743,81218,6784,238344
2012,1,노원구,월계2동,75523,49827,7004,145959
2012,1,노원구,월계3동,222948,88266,11868,296186
2012,1,노원구,중계1동,377864,46596,9273,267668
2012,1,노원구,중계2.3동,226522,21191,4955,145159
2012,1,노원구,중계4동,80923,46102,3371,138699
2012,1,노원구,중계본동,161380,105210,7685,306647
2012,1,노원구,하계1동,130443,13780,6538,88346
2012,1,노원구,하계2동,272684,10884,5448,141807
2012,1,도봉구,기타,63373,24826,3192,83540
2012,1,도봉구,도봉2동,125619,74230,4996,221197
2012,1,도봉구,방학1동,50972,33553,2015,97440
2012,1,도봉구,방학3동,273143,138056,15698,430270
2012,1,도봉구,쌍문1동,28609,25736,1048,70127
2012,1,도봉구,쌍문2동,33926,17718,2144,54785
2012,1,도봉구,쌍문3동,26761,26981,1871,72405
2012,1,도봉구,쌍문4동,126927,80016,3726,234290
2012,1,도봉구,창1동,188979,34757,5616,159847
2012,1,도봉구,창2동,135567,90266,28301,269073
2012,1,도봉구,창3동,52515,32770,3916,96971
2012,1,도봉구,창4동,340112,45581,8922,249271
2012,1,도봉구,창5동,147831,68343,8176,218483
2012,1,동대문구,기타,6045,3181,207,9757
2012,1,동대문구,답십리1동,24068,31885,632,81837
2012,1,동대문구,답십리2동,385485,217637,15431,656076
2012,1,동대문구,용신동,154675,102860,8254,298729
2012,1,동대문구,이문2동,220630,294450,12813,757369
2012,1,동대문구,장안1동,77242,58080,4227,164253
2012,1,동대문구,장안2동,155678,137292,47942,389458
2012,1,동대문구,전농1동,93386,50758,3247,154372
2012,1,동대문구,전농2동,147842,65808,4379,211549
2012,1,동대문구,제기동,39760,57331,7274,147695
2012,1,동대문구,청량리동,75363,70788,3367,191637
2012,1,동대문구,회기동,21243,12479,35,36972
2012,1,동대문구,휘경2동,225191,214752,16476,581995
2012,1,동작구,기타,11705,3569,646,13172
2012,1,동작구,대방동,524146,116580,11268,487118
2012,1,동작구,사당1동,2165,438,58,1918
2012,1,동작구,사당2동,126085,10403,7100,79120
2012,1,동작구,상도1동,240620,153830,8175,449316
2012,1,동작구,상도2동,312694,103210,9047,366776
2012,1,동작구,상도3동,50555,62681,2534,162682
2012,1,동작구,신대방1동,348884,144137,14568,475630
2012,1,동작구,신대방2동,105207,31149,10093,117732
2012,1,동작구,흑석동,152352,28974,7636,132034
2012,1,마포구,공덕동,116602,57856,5739,180942
2012,1,마포구,기타,10233,3284,447,11843
2012,1,마포구,대흥동,84393,10336,4488,60425
2012,1,마포구,도화동,204830,48137,9228,197739
2012,1,마포구,망원1동,155666,76408,1042,237502
2012,1,마포구,망원2동,22033,21443,1083,57734
2012,1,마포구,상암동,557995,18465,32498,288741
2012,1,마포구,서교동,2790,5340,108,13180
2012,1,마포구,성산1동,304042,135767,6372,435148
2012,1,마포구,성산2동,514957,96584,22124,442035
2012,1,마포구,염리동,158891,48892,3454,178034
2012,1,마포구,용강동,215929,31267,11371,165367
2012,1,마포구,합정동,159992,63711,14016,215202
2012,1,서대문구,기타,86455,33911,3923,113920
2012,1,서대문구,남가좌2동,38971,11815,40634,56480
2012,1,서대문구,북가좌1동,39409,14473,2149,49842
2012,1,서대문구,북가좌2동,18653,2777,1171,14518
2012,1,서대문구,연희동,31815,10915,2618,38808
2012,1,서대문구,천연동,43273,12152,2201,46299
2012,1,서대문구,홍제2동,108702,32775,2814,120440
2012,1,서초구,내곡동,3216,2652,165,7359
2012,1,서초구,반포1동,112803,13375,2550,78635
2012,1,서초구,반포2동,160291,6344,5275,83925
2012,1,서초구,반포4동,38034,5730,1758,29545
2012,1,서초구,반포본동,10272,2704,384,10540
2012,1,서초구,방배1동,13835,7448,343,22663
2012,1,서초구,방배2동,167043,42807,31928,177314
2012,1,서초구,방배3동,116756,25357,15671,111508
2012,1,서초구,방배4동,186607,50778,17728,198750
2012,1,서초구,방배본동,141579,32344,4314,133913
2012,1,서초구,서초1동,133760,54309,3116,179401
2012,1,서초구,서초2동,179397,17923,4454,117691
2012,1,서초구,서초3동,44467,18037,1914,59892
2012,1,서초구,서초4동,291258,6278,25710,146092
2012,1,서초구,양재1동,30449,11739,5669,41088
2012,1,서초구,양재2동,2458,1570,141,4606
2012,1,서초구,잠원동,151712,37465,5669,150129
2012,1,성동구,금호1가동,77987,9535,4171,55810
2012,1,성동구,금호2.3가동,9917,5174,511,15964
2012,1,성동구,금호4가동,47083,29388,2481,86616
2012,1,성동구,기타,2842,1773,180,5236
2012,1,성동구,마장동,206229,74522,13650,258902
2012,1,성동구,사근동,7286,4574,19,13341
2012,1,성동구,성수2가3동,130328,57775,6662,186887
2012,1,성동구,옥수동,92351,10847,2496,64283
2012,1,성동구,행당1동,66598,32671,4085,102777
2012,1,성동구,행당2동,298501,141412,16610,448842
2012,1,성북구,길음1동,180066,138142,9799,389039
